feature,importance,weight
HTTPS,0.31472442331190303,0.5610030510718307
AnchorURL,0.2550033132259043,0.5049785274899362
WebsiteTraffic,0.06993291184318252,0.264448316015025
SubDomains,0.06816485678769572,0.2610840033163574
LinksInScriptTags,0.04116503111582976,0.20289167335262864
PrefixSuffix-,0.03583229731419827,0.18929420834827004
ServerFormHandler,0.02164263573852776,0.14711436278802884
LinksPointingToPage,0.021356733260423744,0.14613943088853104
RequestURL,0.018387264130884214,0.13559964649984974
AgeofDomain,0.016625528739757447,0.12894001993080909
DomainRegLen,0.01571414922118496,0.12535608968528397
GoogleIndex,0.013615062791245391,0.11668360120961896
DNSRecording,0.01343540256965613,0.11591118397141896
UsingIP,0.013216342592530917,0.11496235293578032
PageRank,0.012173636385621047,0.11033420315396784
LongURL,0.008459030827106495,0.09197298966058728
HTTPSDomainURL,0.005984001990789238,0.07735633129091139
ShortURL,0.005789070723708523,0.07608594300991822
Symbol@,0.00561077339591322,0.074905095927535
WebsiteForwarding,0.00552436781324633,0.07432609106663911
InfoEmail,0.005327318369658167,0.07298848107515436
StatsReport,0.005038722435343838,0.07098395900021243
UsingPopupWindow,0.004781838209144841,0.06915083664819133
Favicon,0.004609883592706017,0.06789612354697444
AbnormalURL,0.004259892804468015,0.06526785429649128
Redirecting//,0.004046200400177272,0.06360975082624733
StatusBarCust,0.0033712994630779795,0.058062892307204086
IframeRedirection,0.0024127003520242715,0.04911924624853553
NonStdPort,0.0023044614917737583,0.04800480696527962
DisableRightClick,0.0014908491023167166,0.03861151515178751
